GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalNominationResultType,0,81,0,0,0,8,0,1,0,1
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalElection,31,194,1,3,5,32,3,22,2,21
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalDistrictType,3,40,0,0,1,4,1,1,1,1
Election Results Core,de.larssh.election.germany.schleswigholstein.local,PopulationInformation,22,175,2,2,1,14,2,7,0,7
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalElectionResult.ParsableLocalElectionResult,16,92,0,2,0,7,1,10,1,9
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalNominationResult,16,407,12,40,4,53,12,37,0,23
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalElection.ParsableLocalElection,105,111,4,6,3,20,7,3,3,2
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalDistrict,0,29,0,0,0,5,0,4,0,4
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalDistrictRoot.ParsableLocalDistrictRoot,14,33,0,0,0,7,2,1,2,1
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalDistrictRoot,0,87,0,4,0,20,0,7,0,5
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalPollingStation,4,24,0,0,1,5,1,4,1,4
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalNomination,0,78,1,3,0,8,1,10,0,9
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalElectionResult,112,1085,7,57,9,119,11,86,4,61
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalDistrictRoot.ParsableLocalDistrict,7,33,0,0,0,7,1,2,1,2
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalBallot,107,203,3,21,3,36,4,20,1,11
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalElectionResult.ParsableLocalBallot,19,24,0,0,0,2,1,3,1,3
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalPartyResult,138,219,8,10,14,24,6,25,0,22
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalDistrictRoot.ParsableLocalPollingStation,7,21,0,0,0,5,1,1,1,1
Election Results Core,de.larssh.election.germany.schleswigholstein.local,LocalNominationType,0,24,0,0,0,3,0,1,0,1
Election Results Core,de.larssh.election.germany.schleswigholstein.local.file,PollingStationResultFileParseException,25,0,0,0,5,0,2,0,2,0
Election Results Core,de.larssh.election.germany.schleswigholstein.local.file,PollingStationResultFiles.PollingStationResultFileWriter,0,263,5,13,0,31,5,12,0,8
Election Results Core,de.larssh.election.germany.schleswigholstein.local.file,PollingStationResultFileLineParseException,21,0,0,0,6,0,2,0,2,0
Election Results Core,de.larssh.election.germany.schleswigholstein.local.file,PollingStationResultFiles.PollingStationResultFileReader,109,405,9,35,8,43,10,29,1,16
Election Results Core,de.larssh.election.germany.schleswigholstein.local.file,PollingStationResultFiles,0,18,0,0,0,3,0,2,0,2
Election Results Core,de.larssh.election.germany.schleswigholstein.local.file,AwgWebsiteFiles.AwgWebsiteFileWriter,6,389,0,2,2,24,0,19,0,18
Election Results Core,de.larssh.election.germany.schleswigholstein.local.file,PresentationFiles,0,8,0,0,0,2,0,1,0,1
Election Results Core,de.larssh.election.germany.schleswigholstein.local.file,PresentationFiles.PresentationFileWriter,58,1029,5,23,3,65,7,45,2,36
Election Results Core,de.larssh.election.germany.schleswigholstein.local.file,AwgWebsiteFiles,0,7,0,0,0,2,0,1,0,1
Election Results Core,de.larssh.election.utils,BigDecimals,2,61,1,3,0,9,1,8,0,7
Election Results Core,de.larssh.election.germany.schleswigholstein,Keys,7,61,2,4,2,4,2,2,0,1
Election Results Core,de.larssh.election.germany.schleswigholstein,Gender,0,34,0,0,0,4,0,1,0,1
Election Results Core,de.larssh.election.germany.schleswigholstein,Person,5,14,0,0,1,2,1,2,1,2
Election Results Core,de.larssh.election.germany.schleswigholstein,Election,25,26,0,0,5,7,3,4,3,4
Election Results Core,de.larssh.election.germany.schleswigholstein,ElectionException,7,0,0,0,2,0,1,0,1,0
Election Results Core,de.larssh.election.germany.schleswigholstein,DistrictValueMap,24,145,2,16,2,31,2,13,0,6
Election Results Core,de.larssh.election.germany.schleswigholstein,District,25,103,4,6,2,15,3,11,0,9
Election Results Core,de.larssh.election.germany.schleswigholstein,Address,15,0,0,0,2,0,2,0,2,0
Election Results Core,de.larssh.election.germany.schleswigholstein,PartyType,0,24,0,0,0,3,0,1,0,1
Election Results Core,de.larssh.election.germany.schleswigholstein,Party,0,21,0,0,0,4,0,3,0,3
Election Results Core,de.larssh.election.germany.schleswigholstein,Color,22,147,1,1,0,12,2,4,1,4
